ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,hh_hl_count,hh_hl_pct,hh_hl_orderly,candle_quality,abr21_pct,candle_orderly,atr50ma_ext,not_extended_50ma,ret_5d,compression_1w,tightness_score,support_score,avg_close_in_range,close_in_upper_range,up_down_vol_ratio,accumulation_support,distribution_days,quiet_pullback_weeks,quiet_pullback,recent_expansion,post_expansion_tight,base_length,base_depth_pct,base_tightness_pct,base_close_position,pivot_age,breakout_ready,leadership_score,entry_score,sepa_vcp_score,power_play_score,pct_to_pivot,pivot,adv_usd,rs_pct_rank,rs_top_20,qm_breakout_vendor_score,qm_breakout_score,qm_breakout_entry_price,qm_breakout_stop_price,qm_breakout_stop_loss_pct,qm_episodic_pivot_vendor_score,qm_episodic_pivot_score,qm_episodic_pivot_entry_price,qm_episodic_pivot_stop_price,qm_episodic_pivot_stop_loss_pct,sepa_vcp_qualifies,power_play_qualifies,qm_breakout_qualifies,qm_episodic_pivot_qualifies,qualified_count,also_fits,primary_setup,primary_setup_score,setup_score,primary_setup_valid,best_family_excess,best_family_pct,market_regime,regime_score,regime_eligible
A,134.68499755859375,-13.808074374102175,22.68865116396732,13.062769404540187,-8.648447379914302,0.0940569128321521,False,0.9701310165447882,6.593159902278492,-8.60735786728869,6.683578014257052,False,True,False,True,26,43.333333333333336,True,0.38825416736181495,1.1557756572553048,False,2.2731856847425433,True,2.7032165513530826,True,2,2,0.6141074538373177,True,1.0860477082914655,False,2,2,True,False,False,35.0,19.6682944286903,6.593159902278492,0.7785248115725252,26.0,False,2,5,5,6,-4.356039214641239,140.81913426907286,291676995.36420137,44.44444444444444,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,7,False
AA,49.0099983215332,-41.508535880143384,74.19022490058175,66.06249059670772,44.351273812253226,0.15032200651542413,False,0.8084964268328491,7.600494626382652,-25.127417131659936,-16.00685586432412,False,True,False,True,22,36.666666666666664,False,0.36845744107652223,1.6244872125528782,False,-5.308149823613642,True,0.0,True,2,0,0.40001288099462434,False,0.5071183335410258,False,7,1,False,False,False,25.0,38.90585604423124,17.506635635375954,0.10238908116439145,24.0,False,1,1,3,3,-34.92232119194833,75.30999755859375,364214747.5103542,80.16795865633075,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-3,0.375,risk_on,7,False
AAL,16.03260040283203,-11.66611162645138,57.49115837138663,29.504040828969448,7.792824044514958,0.07819441762863552,True,1.1495712468378068,9.644717275182318,0.2037525177001953,-0.2947731411624188,False,True,False,False,28,46.666666666666664,True,0.43258358456526497,1.7479606899890494,False,1.6471150768001603,True,-6.787211094913436,False,0,1,0.3909411498216858,False,1.3565204256627568,True,3,1,False,True,False,25.0,29.164450393305625,18.439309040294084,0.49682476949537235,7.0,False,3,2,3,4,-14.67482904919234,18.790000915527344,2446864819.329132,60.46511627906976,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAOI,118.81999969482422,-46.74137317607547,509.6459778870863,302.84792783180154,281.13671104734703,0.2902271339553242,False,0.6352000728324765,15.401450175693746,252.37246557948555,-30.60795266041445,False,True,True,False,19,31.666666666666664,False,0.4342553374310893,4.883646871268932,False,-3.2896984594881684,True,3.854554577009739,True,2,0,0.3752563195277792,False,0.8199507023050165,False,5,4,True,False,False,,,,,,False,6,2,3,4,,,1568780999.0226302,97.1576227390181,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAON,113.37000274658203,-23.47455424886875,57.95297455863224,52.84268180731164,31.131465022857153,0.17573095692764693,False,0.7924281753218411,12.666483755016023,33.058276756052216,-16.73766179683891,False,True,False,False,22,36.666666666666664,False,0.37754325510536735,2.1497228971639224,False,-1.9799557854570409,True,3.1198837811594826,True,1,0,0.4662601806872426,False,0.6097427616072075,False,4,3,True,False,False,25.0,25.65953600712157,22.184000102828918,0.2616328098477671,15.0,False,2,2,2,2,-18.946159502188397,139.8699951171875,109455929.947229,73.83720930232558,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-4,0.25,risk_on,7,False
AAP,54.439998626708984,-16.49116362048134,42.59994778073626,-10.444468722876987,-32.15568550733148,0.14511371266750359,False,0.9500907069962929,9.551801789334109,27.77740968672009,-1.3197705100489676,False,True,False,False,25,41.66666666666667,True,0.46553108781791447,2.534922332869488,True,-0.8388819622540907,True,-2.097057907690736,True,1,0,0.430162045107887,False,0.692064927602727,False,5,3,True,False,False,25.0,14.541147062342851,16.371656063939596,0.07383959519281115,8.0,False,1,2,2,3,-13.467434649620325,62.912729336378234,96547126.79735985,22.416020671834623,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-3,0.375,risk_on,7,False
AAPL,314.30999755859375,-0.9454476767458364,55.92297978784879,51.259188601636275,29.547971817181786,0.14845087333920398,True,1.2035538558906227,5.2177864342368565,20.996708434082567,5.824715404918646,False,True,False,True,36,60.0,True,0.4764012103581257,1.4565782250635948,True,1.6456699051007044,True,1.1749159381502894,True,2,2,0.6673485677290023,True,1.55268108433562,True,4,1,False,False,False,55.0,18.124594986449804,13.601221829423524,0.8440909198235269,1.0,True,7,4,5,7,-2.8257889329085017,323.45001220703125,18635644916.94044,73.38501291989664,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,7,7,True,1,0.875,risk_on,7,True
ABBV,244.67999267578125,-6.2780151639874155,35.508635646524425,31.91895588597513,10.207739101520641,0.07240033585578332,False,1.163148879402515,5.112804536577566,13.022575337761722,6.377982922176595,False,True,False,True,21,35.0,False,0.4419981519574098,1.341158316608823,True,2.825291790550775,True,-3.915178268080366,True,2,1,0.4518062031630645,False,1.2796370198331286,True,4,1,False,False,False,25.0,17.684611275313703,7.491424570268135,0.63345548274079,7.0,False,3,3,4,6,-6.482197302826642,261.6400146484375,2270954104.292801,62.91989664082688,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,7,False
ABCB,90.16000366210938,-1.6257477784643592,38.67737333485262,33.279649076388296,11.568432291933807,0.08188258334990896,True,1.0231224809013295,3.5492507183443607,14.144863870770209,3.4340959551961925,False,True,False,True,26,43.333333333333336,True,0.4886377629012772,1.1011692868253546,True,1.9373148143625658,True,-0.022174143932951473,True,2,0,0.496739027731617,False,1.095852068644406,False,3,2,True,False,False,65.0,11.900341821362426,5.2129596126136155,0.7927401258527557,7.0,True,6,4,6,6,-2.4664633482047615,92.44000244140625,56126089.88200569,63.95348837209303,False,0.0,0,,,,0.0,0,,,,True,True,False,False,2,power_play,sepa_vcp,6,6,True,0,0.75,risk_on,7,True
ABCL,6.519999980926514,-19.704432600769728,134.5323758283009,53.773592756753196,32.06237597229871,0.11641227384044622,False,1.272252570278333,19.9386459770046,44.24778779733618,13.588854371267756,False,True,False,False,28,46.666666666666664,True,0.47080453321152355,4.3681422417216575,True,1.0477092014449063,True,-15.214565248219781,False,0,1,0.40267028982651487,False,1.338956215039274,True,5,3,True,True,False,,,,,,False,3,3,2,2,,,53505495.947400615,74.28940568475451,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-4,0.25,risk_on,7,False
