ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,hh_hl_count,hh_hl_pct,hh_hl_orderly,candle_quality,abr21_pct,candle_orderly,atr50ma_ext,not_extended_50ma,ret_5d,compression_1w,tightness_score,support_score,avg_close_in_range,close_in_upper_range,up_down_vol_ratio,accumulation_support,distribution_days,quiet_pullback_weeks,quiet_pullback,recent_expansion,post_expansion_tight,base_length,base_depth_pct,base_tightness_pct,base_close_position,pivot_age,breakout_ready,leadership_score,entry_score,sepa_vcp_score,power_play_score,pct_to_pivot,pivot,adv_usd,rs_pct_rank,rs_top_20,qm_breakout_vendor_score,qm_breakout_score,qm_breakout_entry_price,qm_breakout_stop_price,qm_breakout_stop_loss_pct,qm_episodic_pivot_vendor_score,qm_episodic_pivot_score,qm_episodic_pivot_entry_price,qm_episodic_pivot_stop_price,qm_episodic_pivot_stop_loss_pct,sepa_vcp_qualifies,power_play_qualifies,qm_breakout_qualifies,qm_episodic_pivot_qualifies,qualified_count,also_fits,primary_setup,primary_setup_score,setup_score,primary_setup_valid,best_family_excess,best_family_pct,market_regime,regime_score,regime_eligible
A,135.02999877929688,-13.753184918386264,22.766788735282304,22.59192930409235,-6.778311117068082,0.12396246020147915,False,1.2426717277138695,18.01822534281142,-9.67355578195026,21.146599576912894,True,True,False,False,26,43.333333333333336,True,0.36502567770462035,1.1846039876689913,False,3.8032721148969353,True,17.33576349566812,False,0,2,0.6120084430190509,True,1.1421547704741026,False,2,2,True,True,True,25.0,22.24614730649261,22.957867073718383,0.8606449593218012,3.0,False,2,4,4,4,-3.1001127628294767,139.35000610351562,314807239.4477623,50.06684491978609,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AA,81.83000183105469,0.0,210.5190890491769,210.5190890491769,181.14884862801648,0.32991114743266503,True,1.1260882281223414,13.7846737466601,97.1072761905462,25.437640875259525,False,True,False,False,25,41.66666666666667,True,0.5392325552999364,2.273394028445834,True,4.272785213248809,False,9.735821598420058,False,0,2,0.7677408495292267,True,1.1442232345300258,False,1,1,False,False,False,25.0,25.674188998589564,25.71183750462211,0.9942968092337443,0.0,True,11,3,5,5,-0.1464247976278532,81.94999694824219,282973280.31910896,91.51069518716578,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
AAL,14.149900436401367,-12.977243313517317,38.99705316518687,24.340072883176145,-5.030167537984287,0.09026155614607496,False,1.0654316744402745,9.894059854503997,1.3603180353543909,10.632529152496705,False,True,False,False,26,43.333333333333336,True,0.39560997659163954,1.687764897690614,False,3.2917639168757047,True,-4.714477623461644,True,1,2,0.48378138457071573,False,1.6101109507935618,True,2,3,True,True,True,25.0,27.46753017543273,24.240448665473362,0.704468246474561,4.0,False,2,4,4,4,-8.117527357758547,15.399999618530273,876321998.2062839,51.67112299465241,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAOI,199.30999755859375,-10.663383188740749,1188.3645385797627,1184.6277354055715,1155.257494984411,0.44594708614022954,True,1.142837381107821,26.6870719446822,651.262692800913,7.793404076679833,False,True,False,False,26,43.333333333333336,True,0.5360422501949629,7.378090060195042,True,2.1010520503290167,True,12.211464383329096,False,0,0,0.5246528684563353,False,0.9930987982579814,False,7,2,True,False,False,,,,,,False,10,2,3,6,,,2164845247.1778536,99.53208556149733,True,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,7,False
AAON,144.8300018310547,0.0,102.48697546944526,54.67050437743297,25.300263956272538,0.22654041443666803,True,1.073686266754889,10.957671005003487,58.258660677514506,2.2088955188586112,False,True,False,False,23,38.333333333333336,False,0.3207406700322598,2.1721155277734985,False,4.969004308155737,False,2.6289731024907947,True,1,1,0.6156927563321263,True,0.9332618568225558,False,6,2,True,False,False,,,,,,False,7,2,4,4,,,198672480.1737915,69.31818181818183,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAP,56.869998931884766,-13.160158822101264,48.28796422021826,16.61321028196092,-12.757030139199511,0.08136292681176323,False,1.3111980590981431,11.869175535038636,8.746377674769,9.7240920755868,True,True,False,False,28,46.666666666666664,True,0.4883094629610334,2.5785713086450004,True,0.5092175756162427,True,3.1561723744929715,True,1,0,0.5526870621585642,False,0.9928876774105195,False,5,1,False,True,True,25.0,24.374195605091668,24.828554944755307,0.6412112405753237,1.0,False,2,1,3,3,-8.745187403125232,62.31999969482422,135014748.15063325,44.919786096256686,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-3,0.375,risk_on,7,False
AAPL,310.135009765625,-0.7599756570297322,59.15220339776705,54.370533794487756,25.000293373327324,0.1593512147726048,True,0.8883513877922637,3.217956912981289,9.753161591797666,5.963857293511587,False,True,False,True,31,51.66666666666667,True,0.5376675139600243,0.9623878387503958,True,6.142723842879783,False,0.5854192819277682,True,2,3,0.6116714470748781,True,3.3009306651094525,True,0,1,False,False,False,35.0,18.42753609524051,6.013508088164098,0.9161883967414975,2.0,True,7,4,6,6,-1.544441344246028,315.0,13665973983.242512,69.11764705882352,False,0.0,0,,,,0.0,0,,,,True,True,False,False,2,power_play,sepa_vcp,6,6,True,0,0.75,risk_on,7,True
ABBV,212.44500732421875,-11.004334918804249,20.325862039015252,17.314324589722464,-12.055915831437968,0.17259941246943364,False,0.958884757055155,4.994233916808089,-4.077592257860408,4.766253379575747,True,True,False,True,20,33.33333333333333,False,0.42872478439088396,0.9525841812802358,False,0.8898444627910986,True,-0.31671725245564497,True,2,1,0.5378779448222245,False,0.722973877553673,False,2,2,True,False,False,25.0,13.299393317300773,5.3096087883496965,0.7414563020218682,6.0,False,2,4,5,6,-3.4384743291206,220.00999450683594,1114156758.7503662,45.588235294117645,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,7,False
ABNB,133.3800048828125,-7.490628618115391,19.580422976529533,2.9007945589147877,-26.469445862245642,0.1544283337632495,False,0.9746329554675381,6.2558058443287825,12.272728498754827,-2.677853401841457,False,True,False,True,24,40.0,True,0.3793346943049512,1.4396359343676148,False,-0.27719117990620423,True,0.5275943967993912,True,2,0,0.4684012581266959,False,0.764227719585903,False,3,2,True,False,False,45.0,17.480473931252654,7.377414888038153,0.461150106126843,28.0,False,2,2,3,5,-9.419351522707975,147.25,557371370.1897904,33.48930481283423,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
ABT,86.61499786376953,-35.99045359787543,4.9115799722473374,-33.82916960184781,-63.19941002300824,0.10712324355983592,False,0.8701796788400417,3.4289687628630148,-31.56792606674803,4.9115799722473374,False,True,False,True,18,30.0,False,0.5015162726579002,1.243105077767269,True,-3.47689068482958,True,-0.06345945118005902,True,2,0,0.5797917215120016,False,0.7972841865895732,False,8,0,False,False,False,25.0,13.524632947570952,5.0568577745703465,0.3623242397534313,24.0,False,1,1,3,5,-8.6243305968981,94.79000091552734,1017922919.4723556,8.355614973262032,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
