ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,hh_hl_count,hh_hl_pct,hh_hl_orderly,candle_quality,abr21_pct,candle_orderly,atr50ma_ext,not_extended_50ma,ret_5d,compression_1w,tightness_score,support_score,avg_close_in_range,close_in_upper_range,up_down_vol_ratio,accumulation_support,distribution_days,quiet_pullback_weeks,quiet_pullback,recent_expansion,post_expansion_tight,base_length,base_depth_pct,base_tightness_pct,base_close_position,pivot_age,breakout_ready,leadership_score,entry_score,sepa_vcp_score,power_play_score,pct_to_pivot,pivot,adv_usd,rs_pct_rank,rs_top_20,qm_breakout_vendor_score,qm_breakout_score,qm_breakout_entry_price,qm_breakout_stop_price,qm_breakout_stop_loss_pct,qm_episodic_pivot_vendor_score,qm_episodic_pivot_score,qm_episodic_pivot_entry_price,qm_episodic_pivot_stop_price,qm_episodic_pivot_stop_loss_pct,sepa_vcp_qualifies,power_play_qualifies,qm_breakout_qualifies,qm_episodic_pivot_qualifies,qualified_count,also_fits,primary_setup,primary_setup_score,setup_score,primary_setup_valid,best_family_excess,best_family_pct,market_regime,regime_score,regime_eligible
A,130.30999755859375,-16.60786411645454,18.70333090876337,8.218550125455648,-13.206799250181556,0.2692722810626428,False,0.9137235031062998,6.957456907413939,-4.971040634357548,0.7801139736295815,False,True,False,True,26,43.333333333333336,True,0.4626003807445941,1.3927558603985355,True,1.8038278974158146,True,-4.00658061051169,True,2,0,0.43624312459131154,False,0.6485404709780487,False,4,4,True,False,False,35.0,23.205043311200928,10.0030165490102,0.6783948547061825,20.0,False,1,3,4,4,-7.462861325648107,140.81913426907286,291359869.47133636,39.1497461928934,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AA,50.5,-39.73027873467691,79.48593075060401,63.64047203830181,42.215122662664605,0.4293164107112663,False,0.9990815980961835,18.257428159808168,-10.39325506159745,-26.790377584225,False,True,False,False,21,35.0,False,0.5000110638713255,2.5533799507387838,True,-4.323074995180897,True,-6.654341174969103,False,0,0,0.4850724243208552,False,0.29075730939370786,False,9,1,False,False,False,,,,,,False,1,1,2,2,,,385516989.17309076,78.10913705583756,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-4,0.25,risk_on,7,False
AAL,17.875,-1.5151494452347647,75.58938569885775,52.90847426543621,31.483124889799008,0.3123594366833534,True,1.1862656263420626,7.104897665810752,15.471579642034516,22.01365505423314,False,True,False,True,29,48.333333333333336,True,0.46899356701727335,2.090528728583908,True,4.986736245790516,False,0.027975156865278628,True,2,2,0.5144502559194666,False,2.6961825417716576,True,0,1,False,True,True,25.0,29.856308339589653,16.951052792422423,0.8368982502713127,1.0,False,6,2,5,5,-4.869616130626275,18.790000915527344,2360821573.0290756,73.54060913705584,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
AAOI,128.64999389648438,-42.33527997449163,560.0820698167898,348.8834423636642,327.458092988027,0.33083197242290313,False,0.7970755682041791,30.17411150907711,224.8737344789499,-25.541153602612667,False,True,False,False,21,35.0,False,0.5335989460932546,7.2862781118858955,True,-2.2011111155880307,True,-5.188303057155519,False,0,0,0.5356050403744125,False,0.7426573559591019,False,6,2,True,False,False,,,,,,False,6,2,2,3,,,2230752224.761331,97.20812182741116,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-3,0.375,risk_on,7,False
AAON,110.44499969482422,-25.44894921170149,53.877708426276506,47.395408929243985,25.97005955360678,0.3693240555643607,False,0.8400301200047503,21.983791793549806,39.74128610758234,-14.144122964204831,False,True,False,False,24,40.0,True,0.4490381699306938,2.7441376077932538,True,-1.9729076623970145,True,-12.884523774849688,False,0,0,0.3604996678078945,False,0.28138318720290767,False,7,2,True,False,False,25.0,30.01908146763675,31.373076184732135,0.11576308836471805,21.0,False,3,2,2,2,-26.543979887071046,150.355273162131,120176693.76097564,71.51015228426397,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-4,0.25,risk_on,7,False
AAP,58.70500183105469,-10.35813027774063,53.07271627519932,15.968510615915154,-5.45683875972205,0.5488232354552625,False,0.9785802035038466,10.987140042175131,52.52167506242182,-3.1590186977433765,False,True,False,False,27,45.0,True,0.3775499933579842,2.008820565992657,False,0.4888525856425165,True,-5.58861122075588,False,0,1,0.5611380625923708,False,1.5135383696017861,True,3,4,True,False,False,25.0,14.541142927952745,15.654547576463543,0.5108816389827919,2.0,False,3,3,3,4,-7.112339996237216,63.20000076293945,96959749.0283226,47.525380710659896,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAPL,312.7099914550781,-0.7899811724365047,55.129248372123165,47.01502376988087,25.589674394243666,0.30221329164164495,True,1.223384566927417,10.98462058845028,15.601263855644198,5.777487497940581,False,True,False,False,36,60.0,True,0.5082660070152569,1.6832254811416945,True,2.0697298101947004,True,10.19451434217562,False,0,0,0.45917248160000923,False,0.9290350626328399,False,6,0,False,False,False,55.0,17.760084258218846,12.935311730467056,0.9168004202028359,18.0,True,7,3,5,5,-1.4776315474460344,317.3999938964844,19843157523.174446,71.38324873096447,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
ABBV,255.4250030517578,-2.16225690967653,41.45944758291116,39.34184529876716,17.916495923129958,0.20050364556429934,False,1.2572821992376133,5.512387950129791,13.21624886518511,13.638385103262095,False,True,False,True,24,40.0,True,0.4605672460402192,1.3720344584749744,True,4.765804377433238,False,0.8190238398472216,True,2,3,0.701868572298969,True,1.7991598056966636,True,2,1,False,True,True,25.0,20.12307223954968,15.542727506197455,0.881956115556398,1.0,True,5,4,5,5,-2.3754056140956603,261.6400146484375,2102746189.1478264,67.32233502538071,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
ABCB,90.58999633789062,-1.156579563928295,39.3387395523628,35.10139876650038,13.676049390863177,0.1074303451553496,True,1.110960562977825,3.7090194791697897,23.0452322222783,4.4174541189969885,True,True,False,True,25,41.66666666666667,True,0.39930588590886495,0.9511414025920918,False,2.25617708819906,True,-0.22970051042970896,True,2,2,0.6064647924072852,True,0.9930187326478933,False,1,1,False,False,False,65.0,16.876318514828522,6.206654189595273,0.8814134322365766,1.0,True,6,4,7,7,-2.001304689155825,92.44000244140625,57761511.737393185,65.41878172588832,False,0.0,0,,,,0.0,0,,,,True,True,False,False,2,power_play,sepa_vcp,7,7,True,1,0.875,risk_on,7,True
ABG,205.50999450683594,-22.731889474895027,16.58157245856071,-20.548213253991875,-41.97356262962908,0.20597935327752084,False,0.976879027668402,5.016786450379087,-12.459533431769731,3.022858887330737,False,True,False,True,22,36.666666666666664,False,0.4196946927911178,1.399225432727609,False,1.4926486798798764,True,0.16571445188133804,True,2,3,0.6382818449469025,True,1.508124500798722,True,2,0,False,False,False,35.0,17.35056768092795,6.700398706503707,0.9277208372684613,6.0,True,1,6,6,6,-1.2540845048943705,208.1199951171875,50163870.75797043,15.355329949238577,False,0.0,0,,,,0.0,0,,,,True,True,False,False,2,power_play,sepa_vcp,6,6,True,0,0.75,risk_on,7,False
