ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,hh_hl_count,hh_hl_pct,hh_hl_orderly,candle_quality,abr21_pct,candle_orderly,atr50ma_ext,not_extended_50ma,ret_5d,compression_1w,tightness_score,support_score,avg_close_in_range,close_in_upper_range,up_down_vol_ratio,accumulation_support,distribution_days,quiet_pullback_weeks,quiet_pullback,recent_expansion,post_expansion_tight,base_length,base_depth_pct,base_tightness_pct,base_close_position,pivot_age,breakout_ready,leadership_score,entry_score,sepa_vcp_score,power_play_score,pct_to_pivot,pivot,adv_usd,rs_pct_rank,rs_top_20,qm_breakout_vendor_score,qm_breakout_score,qm_breakout_entry_price,qm_breakout_stop_price,qm_breakout_stop_loss_pct,qm_episodic_pivot_vendor_score,qm_episodic_pivot_score,qm_episodic_pivot_entry_price,qm_episodic_pivot_stop_price,qm_episodic_pivot_stop_loss_pct,sepa_vcp_qualifies,power_play_qualifies,qm_breakout_qualifies,qm_episodic_pivot_qualifies,qualified_count,also_fits,primary_setup,primary_setup_score,setup_score,primary_setup_valid,best_family_excess,best_family_pct,market_regime,regime_score,regime_eligible
A,116.16500091552734,-25.80269981863399,11.28705638971017,9.58969449509317,-21.000113366486307,0.03768388036042518,False,0.9865224531274516,9.744759269666666,-20.43238624783783,2.006501332296784,False,True,False,False,21,35.0,False,0.4105902795596525,0.9518731979582948,False,-0.2364467129422693,True,-4.852973707989583,True,1,1,0.4135184608379393,False,1.3739880309201231,True,4,3,True,False,False,25.0,12.202892822740631,11.113498842997222,0.4275007800267106,5.0,False,0,3,2,4,-6.986146622436662,124.88999938964844,201352103.93143883,35.16245487364621,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AA,65.80999755859375,-10.230528235941561,172.7371190424754,160.35937531362677,129.76956745204728,0.04731164616355314,True,0.7602445348062944,7.141767394927433,65.65275701187197,-9.799892565240686,True,True,False,True,23,38.333333333333336,False,0.3663694215856128,1.4370696629949589,False,0.45650422320529266,True,-1.9955382529198151,True,2,1,0.5474491953434862,False,3.103964665939257,True,3,1,False,False,False,25.0,27.264196771869,14.268347877217405,0.5208100563563913,13.0,False,7,2,5,5,-13.064728914600165,75.69999694824219,354624092.84198606,90.25270758122743,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
AAL,11.720000267028809,-27.92127858515555,18.984769676527247,18.984769676527247,-11.60503818505223,0.06490060952699145,False,0.9351936009882617,6.911266221515591,-12.602532435594627,8.418129621537762,False,True,False,True,20,33.33333333333333,False,0.39700763409264334,1.630210284749535,False,0.020593892590836764,True,-0.4248104400189967,True,2,0,0.36743632223150635,False,0.9967108959350192,False,4,3,True,False,False,25.0,24.75764155556586,17.064846027576323,0.4909639350214519,7.0,False,1,2,3,4,-12.602532435594627,13.40999984741211,647770156.5077748,42.021660649819495,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAOI,146.6999969482422,-10.258765612792475,1046.9898153696956,1022.4177534322062,991.8279455706266,0.10444331461165086,True,1.2318795224511543,21.976817249525723,294.14291278056777,24.70248020177297,False,True,False,False,28,46.666666666666664,True,0.48344344779892123,6.415801285060548,True,2.264877268469683,True,-2.5702398802726734,True,1,3,0.6480132787607081,True,1.3945966575944038,True,1,1,False,False,False,,,,,,False,10,4,5,6,,,1589838271.8002548,99.2057761732852,True,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,7,True
AAON,90.68499755859375,-14.75288172393585,26.786788952151696,2.605709329298489,-27.98409853228099,0.04963669120542159,False,0.9856888932643567,14.269067219102654,-13.407866770843013,12.122898909670067,False,True,False,False,23,38.333333333333336,False,0.33621694049382017,1.897214832451992,False,-0.022660954975942622,True,-5.2799252328881945,False,0,1,0.5246323631833941,False,1.5524597227722772,True,3,2,True,False,False,25.0,24.651898599230343,16.16585329082376,0.5507158852507822,2.0,False,0,3,2,2,-11.075706439042687,101.9800033569336,73489253.8821396,29.747292418772563,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-4,0.25,risk_on,7,False
AAP,57.97999954223633,-11.465200522106333,91.46258592308484,81.1941081758859,50.60430031430643,0.013422933036215147,False,0.9232313786764849,8.451186184663852,4.018347995989591,10.570633933512452,True,True,False,False,30,50.0,True,0.44003276679665565,1.8521437244438288,True,2.051997250662133,True,-1.2770304884144101,True,1,1,0.5364308722120004,False,1.9882441649077,True,4,1,False,False,False,25.0,19.572883762143135,10.589857602837114,0.7518385490695786,4.0,False,5,3,5,5,-4.857235233305923,60.939998626708984,68490140.90937042,78.12274368231047,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
AAPL,269.55999755859375,-5.7226905403044315,38.46482679516563,28.835463722106212,-1.7543441394732646,0.11543875776022437,False,0.9617112158619644,3.9694249096167504,0.4701414723971453,6.33530475684172,False,True,False,True,29,48.333333333333336,True,0.4738066515513574,1.030039924093624,True,1.5969102414705842,True,1.2736160949173847,True,2,1,0.5503555667644349,False,1.5263024328066326,True,5,1,False,False,False,25.0,10.972910654660009,6.662706491223422,0.7947788307206981,3.0,True,3,4,4,6,-2.2518735549466373,275.7699890136719,10503090141.784145,51.76895306859206,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,7,False
ABBV,197.5449981689453,-17.246120692878762,14.957540603124642,6.052125677534526,-24.53768218404495,0.06525731172087523,False,0.8591910412459066,4.940651424278534,-11.947355487709622,-3.4821635254635552,False,True,False,True,21,35.0,False,0.3932145529702722,1.0536751968714093,False,-3.636741924994532,True,-3.692958818526937,True,2,0,0.39507479493151465,False,0.7477983973546269,False,4,2,True,False,False,25.0,10.24815165786728,8.160171366217197,0.05868931250876436,18.0,False,0,2,2,4,-9.646694682581492,218.63616109555005,1289093747.5512383,32.12996389891697,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
ABNB,139.24000549316406,-3.4262639988654864,24.834144118946867,12.92781998935968,-17.661987872219797,0.04873379130929637,False,0.9235413785040802,6.169201378200425,7.879443396480701,11.418743804970767,True,True,False,True,26,43.333333333333336,True,0.4428233915843879,1.2752307272814007,True,1.7256721581863936,True,-2.390458148771324,True,2,2,0.4908515662151375,False,1.6861350238429724,True,2,2,True,False,False,25.0,17.480473931252654,9.444120495334202,0.6888113763944617,4.0,False,4,5,6,6,-5.439724622639009,147.25,410391810.94014585,37.545126353790614,False,0.0,0,,,,0.0,0,,,,True,True,False,False,2,power_play,sepa_vcp,6,6,True,0,0.75,risk_on,7,False
ABT,94.16500091552734,-30.410908685367577,3.330411229651986,-25.81747077886699,-56.407278640446464,0.06674756675383078,False,1.1180526038861782,4.322200026818133,-25.11735909961208,-6.947108640938238,False,True,False,True,24,40.0,True,0.5088225670199733,1.1016528770893157,True,-4.156636135673771,True,1.5584552154876086,True,2,0,0.42207379568705294,False,1.0968783385176446,False,5,3,True,False,False,25.0,13.861912435615626,12.488718761634189,0.23597077266461325,22.0,False,1,2,2,4,-10.590906247574194,105.31926559536625,1138758405.6158783,10.108303249097473,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
ABVX,113.83999633789062,-21.657147993560034,1907.7600494901458,1468.0439772578895,1437.4541693963101,0.07794105920280692,False,0.9061510097403982,5.191500221563414,20.03374181111086,-2.2664894771277644,False,True,False,True,26,43.333333333333336,True,0.536879089592152,2.584828491074191,True,-0.7823768475570598,True,2.1627892184461484,True,2,1,0.4240709401224151,False,1.251007061713233,True,3,2,True,False,False,25.0,22.013702730220636,14.226107006148819,0.4842588057175936,12.0,False,4,3,3,4,-11.353373336661864,128.4199981689453,99483979.02366486,99.63898916967509,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
ACGL,97.1449966430664,-4.741132138370785,14.665952836798324,6.530314773800461,-24.059493087779018,0.025076734192756293,False,1.0602949879071009,3.1087594593853805,13.03815904508463,0.23214865700769138,False,True,False,True,28,46.666666666666664,True,0.45160943422400956,0.9013294117831548,True,0.27185632914928964,True,-1.724837488491271,True,2,1,0.4335058497503891,False,1.7542267038088541,True,3,1,False,False,False,35.0,8.276484725864941,3.6749266020727736,0.6927268288352273,13.0,True,4,4,4,6,-2.5431417078133234,99.68000030517578,180100381.20038262,32.635379061371836,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,7,False
ACHC,28.190000534057617,0.0,141.35273799235884,27.096483977411758,-3.4933238841677188,0.021886317290870393,False,0.8456853282535919,9.29407194838264,22.83224225238336,11.027968537686327,False,True,False,False,30,50.0,True,0.43348765503523595,1.9189027736545146,False,4.0509674472822645,False,2.7332360984072324,True,1,3,0.6045397424600085,True,3.255334631097294,True,0,0,False,False,False,25.0,24.14882139711782,9.29407194838264,0.9563954544106195,0.0,True,5,4,5,5,-1.0529983835404266,28.489999771118164,67647118.8350029,50.108303249097474,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
