ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,hh_hl_count,hh_hl_pct,hh_hl_orderly,candle_quality,abr21_pct,candle_orderly,atr50ma_ext,not_extended_50ma,ret_5d,compression_1w,tightness_score,support_score,avg_close_in_range,close_in_upper_range,up_down_vol_ratio,accumulation_support,distribution_days,quiet_pullback_weeks,quiet_pullback,recent_expansion,post_expansion_tight,base_length,base_depth_pct,base_tightness_pct,base_close_position,pivot_age,breakout_ready,leadership_score,entry_score,sepa_vcp_score,power_play_score,pct_to_pivot,pivot,adv_usd,rs_pct_rank,rs_top_20,qm_breakout_vendor_score,qm_breakout_score,qm_breakout_entry_price,qm_breakout_stop_price,qm_breakout_stop_loss_pct,qm_episodic_pivot_vendor_score,qm_episodic_pivot_score,qm_episodic_pivot_entry_price,qm_episodic_pivot_stop_price,qm_episodic_pivot_stop_loss_pct,sepa_vcp_qualifies,power_play_qualifies,qm_breakout_qualifies,qm_episodic_pivot_qualifies,qualified_count,also_fits,primary_setup,primary_setup_score,setup_score,primary_setup_valid,best_family_excess,best_family_pct,market_regime,regime_score,regime_eligible
AAL,15.109999656677246,-16.749311436620275,48.42828294410681,22.646104147430623,2.574588870764071,0.11779626628252031,True,1.049653701662506,7.544674845965184,2.1636220125055727,-15.680805846278979,False,True,False,True,28,46.666666666666664,True,0.46129149513429046,1.8588103474122424,True,0.05909927386577914,True,-3.5737103821963934,True,2,0,0.38339951192194677,False,0.8935080236917076,False,4,0,False,False,False,25.0,20.48962824670513,16.14824378440699,0.04415584865961741,12.0,False,2,1,3,3,-19.584891322751798,18.790000915527344,2518707191.4988313,54.109589041095894,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-3,0.375,risk_on,6,False
AAON,106.09249877929688,-28.3869139697819,47.81356243526533,41.38006691117666,21.30855163451011,0.11651994614964992,False,0.9053095529752873,13.723878083291552,15.871064722616168,-15.605361902829639,False,True,False,False,19,31.666666666666664,False,0.3849206706290026,2.4417267625642087,False,-3.0151930265561933,True,-6.0546369497933465,False,0,0,0.5261331150873066,False,0.8371164687825924,False,5,2,True,False,False,25.0,27.18953321434961,15.552466187383123,0.11181968387864548,20.0,False,1,2,2,2,-24.149208205513105,139.8699951171875,113297414.68941116,70.54794520547945,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-4,0.25,risk_on,6,False
ACA,144.72999572753906,-0.412784507902908,73.3035414033128,63.862723997680185,43.79120872101363,0.08075194756774788,True,0.22844648377784588,0.4801990506087227,28.2707171707111,0.1105593405491545,True,True,True,True,23,38.333333333333336,False,0.4027413732776325,0.20240763945238074,False,15.531430656510505,False,-0.20685586036193193,True,3,0,0.31414120332927414,False,0.9485404516060012,False,3,1,False,False,False,35.0,17.536754289314793,0.7943073102570556,0.9169376326555412,20.0,True,5,2,7,4,-1.456644326808576,146.86935992673187,152941579.55587006,82.1917808219178,True,0.0,0,,,,0.0,0,,,,True,False,False,False,1,,sepa_vcp,7,7,True,1,0.875,risk_on,6,False
ADP,251.3800048828125,-16.908149794555673,34.1634731009991,-14.135654120925079,-34.20716939759163,0.10716067041424723,False,1.1627997527253982,6.301215701413826,0.10975075379584531,11.739344587636946,False,True,False,True,24,40.0,True,0.46541555395896306,1.1804967143233471,True,3.164043357073952,True,2.0045456875779744,True,2,2,0.6093251848808363,True,1.987016996952552,True,3,2,True,False,False,25.0,18.18146835204142,10.390641502837122,0.7909915002336513,2.0,False,2,4,3,5,-3.8000814238095315,261.30999755859375,605001311.210878,21.91780821917808,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,6,False
ADT,6.894999980926514,-20.23979586489618,9.444440828219204,-15.727019863551073,-35.79853514021762,0.0914318153412708,False,1.1563120742191404,7.179120576730222,-12.144748669931193,6.076922783484817,True,True,False,True,21,35.0,False,0.39512963999238915,1.0994044697394947,False,0.861280248728011,True,2.451708192948021,True,2,2,0.48009375498332807,False,2.233990349651365,True,1,2,True,False,False,25.0,13.752596323905228,9.499640487603513,0.6582914283879507,2.0,False,1,4,4,6,-4.699380045798773,7.235000133514404,54310708.31781836,19.863013698630137,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,6,False
AFG,140.5800018310547,-1.3170929995292457,20.941757342399335,17.664222930641582,-2.4072923460249704,0.07293789509044454,False,1.007546512052754,4.609482786972524,9.454913272341624,1.1237039103802804,False,True,False,True,28,46.666666666666664,True,0.41053596806191284,0.8118939568434254,False,2.02012533474835,True,0.22101150756672627,True,2,2,0.49076624865158863,False,1.9914627620604783,True,2,1,False,False,False,65.0,15.221436159122224,4.609482786972524,0.8313098266454337,10.0,True,4,5,5,7,-2.5677067043877955,144.2848126385891,64835156.20010529,47.94520547945205,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,7,7,True,1,0.875,risk_on,6,False
AFL,122.66000366210938,-1.6516978338930621,27.71600708403048,23.889073786289416,3.817558509622863,0.13080705604436213,False,0.9615411943107578,4.386105570515234,13.445211410559077,2.148569113685217,False,True,False,True,29,48.333333333333336,True,0.4008630373444192,0.6775644010840202,False,2.253122306366211,True,0.4997956535018444,True,2,1,0.44675746165197616,False,1.793458314325192,True,3,1,False,False,False,65.0,13.455373373143262,4.386105570515234,0.8070155356074477,2.0,True,4,3,2,6,-2.59667802361786,125.93000030517578,244204711.36380082,55.47945205479452,False,0.0,0,,,,0.0,0,,,,False,True,False,False,1,,power_play,6,6,True,0,0.75,risk_on,6,False
ALGN,176.22000122070312,-14.94763302078801,41.111471089402166,-6.771771644501379,-26.84328692116793,0.20334591123594442,False,1.0594315671306855,6.577012550444835,6.445181499398367,1.6087232097954596,False,True,False,True,19,31.666666666666664,False,0.45664039639285614,1.96130154339922,True,0.5644378163550483,True,-1.255186265209307,True,2,1,0.40414759980088333,False,1.2625595620289953,True,4,3,True,False,False,45.0,20.62627592703715,6.843725305777576,0.6255394712223262,10.0,False,0,4,4,4,-7.723726190352531,190.97000122070312,178189250.504673,28.767123287671232,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,6,False
ALNY,276.4700012207031,-43.717682396143665,3.3648633338037914,-13.743288812820275,-33.81480408948683,0.0963258549664685,False,1.42677639027903,7.353426049871685,-22.23722269008078,-5.808799547268507,False,True,False,True,19,31.666666666666664,False,0.5117272622757082,2.8379282909923935,True,-1.000098688638977,True,-1.7030535371570954,True,2,0,0.4404777338056382,False,0.3944977557158398,False,4,2,True,False,False,25.0,29.928950259560033,41.136474295284806,0.08968619732444613,8.0,False,0,2,2,4,-27.244736520867598,380.0,452652551.47195894,22.602739726027394,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,6,False
ARR,16.545000076293945,-5.967906130347322,35.47023904064523,20.446634571058198,0.37511929439164504,0.14489223391471595,False,1.1054829851414243,7.434267371196326,-3.130727444338677,-3.2273521238542435,False,True,False,True,24,40.0,True,0.5052028153515778,0.9712193459504951,True,-0.3260731977504884,True,-1.9265011663995968,True,2,0,0.32988999832921106,False,1.1784995399885807,False,4,2,True,False,False,45.0,10.961280951204234,7.434267371196326,0.4531369269218894,4.0,False,2,2,2,5,-5.994319785848101,17.600000381469727,73749675.30451794,52.054794520547944,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,6,False
