ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,hh_hl_count,hh_hl_pct,hh_hl_orderly,candle_quality,abr21_pct,candle_orderly,atr50ma_ext,not_extended_50ma,ret_5d,compression_1w,tightness_score,support_score,avg_close_in_range,close_in_upper_range,up_down_vol_ratio,accumulation_support,distribution_days,quiet_pullback_weeks,quiet_pullback,recent_expansion,post_expansion_tight,base_length,base_depth_pct,base_tightness_pct,base_close_position,pivot_age,breakout_ready,leadership_score,entry_score,sepa_vcp_score,power_play_score,pct_to_pivot,pivot,adv_usd,rs_pct_rank,rs_top_20,qm_breakout_vendor_score,qm_breakout_score,qm_breakout_entry_price,qm_breakout_stop_price,qm_breakout_stop_loss_pct,qm_episodic_pivot_vendor_score,qm_episodic_pivot_score,qm_episodic_pivot_entry_price,qm_episodic_pivot_stop_price,qm_episodic_pivot_stop_loss_pct,sepa_vcp_qualifies,power_play_qualifies,qm_breakout_qualifies,qm_episodic_pivot_qualifies,qualified_count,also_fits,primary_setup,primary_setup_score,setup_score,primary_setup_valid,best_family_excess,best_family_pct,market_regime,regime_score,regime_eligible
A,113.20999908447266,-27.690128529237512,5.168387017166043,0.32454945547384373,-25.683355970324605,0.14337630417335473,False,1.0933665027511226,4.160415821885816,-22.577915350615953,-2.0844175790167285,True,True,False,True,24,40.0,True,0.4560617945928388,1.3647867916589527,True,-0.44693975302391514,True,1.5700699931584516,True,2,0,0.4008552926972425,False,0.678652914349325,False,6,2,True,False,False,45.0,12.202892822740631,8.241323122079546,0.2336054746789505,19.0,False,1,2,4,4,-9.352230252427951,124.88999938964844,223549058.2527233,34.39189189189189,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AA,62.630001068115234,-14.568267420746295,137.2814166751033,115.41567395371604,89.4077685279176,0.11737695405491191,False,0.7460716403337403,12.709568518947922,66.88633456737278,-7.021970753232809,False,True,False,False,21,35.0,False,0.4570836207630788,1.6679720179127384,True,-1.1244805576939125,True,-4.147528958773239,True,1,0,0.43263706203482644,False,0.6615719749685925,False,4,1,False,False,False,25.0,17.352458522910748,12.709568518947922,0.12246491414696706,24.0,False,4,1,3,3,-15.227391179663673,73.87999725341797,246277776.3248869,86.08108108108108,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-3,0.375,risk_on,7,False
AAL,12.6850004196167,-21.98646838217776,24.607073078055897,6.956161777584646,-19.0517436482138,0.17206395273628994,False,0.8793291440946077,5.281829358537701,-0.5877727893403684,8.604452809779218,False,True,False,True,24,40.0,True,0.3802595139748095,1.2826467738783496,False,2.4456931128868677,True,-0.820950293584799,True,2,0,0.5867888388919745,False,1.1466672189882499,False,5,3,True,False,False,25.0,16.703950757691054,11.824989754673775,0.6763395080913314,21.0,False,2,3,4,4,-5.406408919052463,13.40999984741211,603964752.7004857,40.60810810810811,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAOI,169.6800994873047,-23.944377030372987,1000.3897447974964,807.8656748998336,781.8577694740352,0.41666730672558083,True,1.415805778418191,38.51423833570665,690.4966144006642,16.394636375454553,False,True,False,False,28,46.666666666666664,True,0.5318346699708003,7.520652519014287,True,1.240326895200252,True,-8.231419638499549,False,0,0,0.39489274830965554,False,0.8416196899179668,False,4,1,False,False,False,,,,,,False,9,1,3,4,,,1968868228.3138351,99.05405405405405,True,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAON,133.8699951171875,-5.525760056236773,87.16375877426385,25.842549645517998,-0.16535578028044995,0.05537880868885853,False,1.6528564296141843,11.279604582264561,42.68516267220062,46.08249237102169,True,True,False,False,22,36.666666666666664,False,0.4109979000589055,2.94554588110424,False,3.5072372244987555,True,-5.525760056236773,False,0,1,0.6325091970377564,True,0.7813105062134321,False,5,2,True,True,True,,,,,,False,3,3,4,4,,,162171788.86099547,57.2972972972973,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-2,0.5,risk_on,7,False
AAP,49.19499969482422,-24.87979531418415,60.22152911719265,43.206855269415925,17.198949843617477,0.2625078996895682,False,1.1214689481462765,11.58654497062462,-0.646115112126,-14.990494897488006,False,True,False,False,25,41.66666666666667,True,0.4416191185455614,2.0853989554393166,True,-1.7338688521139898,True,-5.0839321689000405,False,0,0,0.3555566046671137,False,0.514449057933244,False,7,0,False,False,False,25.0,22.661630898923352,24.128466318770204,0.1495292535677508,18.0,False,2,1,2,2,-19.27305414597946,60.939998626708984,76703493.81980935,68.58108108108108,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-4,0.25,risk_on,7,False
AAPL,297.4599914550781,-0.9226324584107437,52.937000054759494,41.361401117079424,15.353495691280976,0.15081456335566812,True,1.1006873088393316,3.5769565501531777,9.398561894583679,11.256707589066606,False,True,False,True,30,50.0,True,0.5278550401839581,1.019810073453664,True,4.687977721611808,False,1.6331826222887535,True,2,2,0.6362857539277276,True,2.167620309975939,True,3,1,False,False,False,35.0,19.10158465522443,9.061557954614674,0.9008905991857982,1.0,True,7,3,6,5,-1.893146609781049,303.20001220703125,13221784343.724802,67.5,False,0.0,0,,,,0.0,0,,,,True,False,False,False,1,,sepa_vcp,6,6,True,0,0.75,risk_on,7,False
ABBV,209.56500244140625,-12.21080219808387,19.027641278705975,17.591689533771348,-8.4162158920271,0.08310512437175548,False,1.0650314549274091,5.4446131411181495,-8.330315845385982,6.173369772600901,True,True,False,True,21,35.0,False,0.4136645475374663,1.159792564506869,False,0.19612875397597887,True,3.3459925549630176,True,2,1,0.40207106368037077,False,0.7731926815701343,False,2,2,True,False,False,35.0,12.754596932098083,7.109962886408177,0.6747075144885635,32.0,False,1,4,5,5,-4.1489745377387255,218.63616109555005,1304965492.8516693,50.06756756756757,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
ABG,180.61500549316406,-32.091963505580125,0.8065007194207885,-23.16544013883829,-49.17334556463673,0.06370421182603923,False,1.0193591097426473,12.17506273874198,-18.674857728227423,-9.706040796187953,False,True,False,False,17,28.333333333333332,False,0.45831787555776493,1.8800240799584964,True,-2.410343077333028,True,-8.544736204680547,False,0,0,0.35757493241941657,False,0.680763650875628,False,6,1,False,False,False,25.0,18.31083698148443,15.186995455269315,0.11360185146177901,21.0,False,0,1,2,3,-16.230691998572986,215.61000061035156,71099197.31955262,16.283783783783782,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-3,0.375,risk_on,7,False
ABNB,136.91000366210938,-5.042300862103632,22.745205790159083,-0.7898524187613276,-26.797757844559776,0.14146939261139424,False,1.0181703317735729,5.324660792592149,12.202923642588924,-2.9420062160149585,False,True,False,True,26,43.333333333333336,True,0.4427189587381784,1.4276427012753354,True,0.6334956087174424,True,-0.10215205146369977,True,2,0,0.43846494650770457,False,0.5203104413071257,False,4,2,True,False,False,65.0,18.736839618261886,11.500251768341029,0.6252266143402772,18.0,False,2,3,3,5,-7.022068820299232,147.25,511010118.9413208,33.24324324324324,False,0.0,0,,,,0.0,0,,,,False,False,False,False,0,,none,0,0,False,-1,0.625,risk_on,7,False
