ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,vcp_score,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,power_play,breakout_confirm,pct_to_pivot,setup_score,ret_1m,ret_3m,qm_momentum,qm_ema_ride,adr_pct,qm_adr_pct,qm_consolidation,qm_score,adv_usd
A,121.87000274658203,-22.158781856615295,22.551689036888224,19.640059972278777,-17.003531588959753,0.8360031360788982,False,0,0.9388266101784918,5.948961874626145,-13.276831894656215,7.638420238448451,False,False,False,True,False,False,1.2293407794973898,1,9.54984882304728,-12.526437162543191,False,True,2.535574395191481,False,True,2,210973329.1805439
AA,65.62000274658203,-10.489694541137329,184.78854083845283,164.6818020326868,128.03821047144825,1.7559856022803555,True,1,0.880256478434109,17.433712225807746,77.49698958970713,13.923618897427946,False,False,False,False,False,False,-10.489694541137329,1,2.164096710261787,9.41813630246262,False,False,4.362203749178059,False,False,0,401109694.59412193
AAL,12.779999732971191,-21.40221677075559,40.90408117945228,35.66878587541531,-0.9748056858232204,1.4072343968607126,False,1,0.9821427811165166,19.561815745193144,7.485276399914054,19.327728174148227,False,False,False,False,False,False,4.15647315550689,1,18.333328771002577,-16.85100957626767,False,False,3.9353428236710557,False,False,0,647343773.2167778
AAOI,159.4199981689453,0.0,1486.2686083918215,1428.4754890163788,1391.8318974551403,0.6451699230251098,True,2,1.23872812865111,16.541142020161473,411.9460542505332,63.64196383218965,False,True,False,False,False,False,1.3348530046777274,2,72.1040730820737,330.39955245280703,True,False,12.686014850532553,True,False,2,1547464641.4273849
AAON,93.9800033569336,-11.655459255242462,31.3935259540717,17.371722328002882,-19.27186923323565,2.063666359781462,False,2,0.9478663770683424,11.587570760439862,-5.848656310957734,12.685853282354831,True,False,False,False,False,True,0.1812235398830131,3,19.64353877237752,0.01951973177745092,False,True,4.9372784016765525,False,False,1,67354469.82794952
AAP,57.4900016784668,-12.213431910950213,89.84449430321362,89.84449430321362,53.20090274197509,1.024259285612637,False,2,0.8464591847623344,7.044701893925143,8.433895917797042,11.370060839239793,True,False,False,True,False,False,1.072434245599041,3,16.988203260870584,33.669846722779525,False,True,3.892024144644981,False,True,2,72359576.87035485
AAPL,270.2300109863281,-5.488356574431263,40.509314503332284,39.706478874572724,3.062887313334194,1.2881339446229985,False,1,1.0852133255169407,5.787656253934969,9.414048519485906,6.856740732543765,False,False,False,True,False,False,1.4262727226701966,2,8.117951647087175,5.8517070265610815,False,True,2.10737103574118,False,True,2,11234868837.242405
ABBV,208.3800048828125,-12.70721134967998,26.45076700707516,25.331222024182477,-11.312369537056053,0.7663361432638028,False,1,0.9001524823937365,5.283784260573933,-6.642908780175172,-0.47898578929391755,False,False,False,True,False,False,-3.393830950706589,2,0.8489798860208841,-1.9786592937440672,False,False,2.3867835703514646,False,True,1,1490165698.2299774
ABNB,141.5500030517578,-0.42909439690325124,26.90514783029092,25.665841458417304,-10.977750102821226,1.1046662621359222,False,1,1.0229677175370817,12.67396824770571,15.184314227998264,8.003971988839865,False,False,False,False,False,False,2.7138854650758493,1,7.946311127081396,8.334608207887628,False,True,3.1977291324297483,False,False,1,451477684.90353316
ABT,96.80999755859375,-28.45621563788755,1.4035784233341397,-23.833728198149906,-60.477319759388436,0.8652644006887031,False,0,1.1325444672789948,8.842067352400647,-23.28541659462188,-6.840058037932872,False,False,False,False,False,False,-6.840058037932872,0,-10.206147383271203,-19.992322741457226,False,False,2.198896246032514,False,False,0,1447709758.4710388
ABVX,120.16000366210938,-17.307820741200597,2019.2240219624296,1810.3339330817796,1773.690341520541,1.1238844543625248,True,2,0.9437864965006669,6.607858022153181,29.32945745982476,9.755206410029205,False,False,False,True,False,False,-4.74076086608084,3,-3.0889541637610596,2.6131556173030424,False,False,5.044314706176299,True,True,2,124081072.34463806
ACGL,97.58999633789062,-4.304772381383226,15.19121214795549,5.639748040022696,-31.003843521215835,2.645522772610623,False,1,0.9065140357630087,3.463466933347593,13.174060696639867,3.6867759137784395,False,False,False,True,False,False,-1.2646702208757632,2,5.082366158842722,7.655813232425013,False,True,1.7584804009558572,False,True,2,202816162.94039306
